REID,Pin Num,Land Value , Bldg Value , Misc Imprv Value ,  Deferred & Exempt Value,Total Taxable Value
5226,8695221088,8000,28028,0,36028,0
5240,8695342046,9000,24709,0,0,33709
5241,8601249508,16000,7249,0,0,23249
5243,8695242318,14000,442,1200,0,15642
5248,8685674380,100950,54087,2599,69428,88208
5250,8686006459,335400,9246,12403,235672,121377
5251,8685849196,34300,59249,22200,0,115749
5252,8685848157,37310,251608,13000,0,301918
5264,8695258130,15000,26502,0,0,41502
5265,8695197050,256750,51589,1500,132498,177341
5268,8683497146,15000,68427,1200,0,84627
5269,8643914990,39250,14006,1405,0,54661
5270,8685748183,30100,120453,500,10697,140356
5272,8653018724,19175,30892,148,0,50215
5276,8632097748,43750,272644,2000,0,318394
5280,8684921282,5000,200,1500,0,6700
5281,8695221697,8400,772,0,0,9172
5282,8676291419,129500,21941,875,75765,76551
5283,8632460671,15840,87487,5498,0,108825
5288,8642498075,17225,110403,3000,0,130628
5289,8695436159,174000,36930,37001,172810,75121
5293,8643905787,12160,84276,3199,0,99635
5295,8695245366,13000,27879,0,0,40879
5300,8601287123,13000,9394,0,0,22394
5301,8684923781,17500,771,0,0,18271
5304,7642796509,0,0,5000,0,5000
5307,8674546130,13000,37813,2000,0,52813
5316,8689115608,31326,113623,2026,0,146975
5318,8694132395,11000,36122,200,0,47322
5320,9606048752,22858,42345,0,0,65203
5326,8653561707,13000,18671,0,0,31671
5329,8684922669,8000,128163,8200,0,144363
5331,8683860636,17500,48130,400,0,66030
5332,8632463600,17300,142372,1750,0,161422
5336,8685503157,64600,92996,1200,0,158796
5339,8695213955,10000,20176,0,0,30176
5340,8684664962,161150,119733,42803,0,323686
5341,8673197362,52365,87513,2600,0,142478
5344,8674228950,21250,181882,2699,0,205831
5347,8684383567,14000,110694,7000,0,131694
5348,8673029548,0,3455,0,0,3455
5350,8685149245,16061,25063,4200,0,45324
5360,8642198791,10000,539,0,0,10539
5364,8684271414,7000,54502,0,0,61502
5370,8664616970,18750,103262,8030,0,130042
5376,8684262357,15601,1055,0,0,16656
5377,8684259643,43513,147569,4716,0,195798
5381,8684921421,15000,174724,19401,0,209125
5382,8632171214,15000,216803,0,0,231803
5384,8684921421,0,3843,0,0,3843
5385,8684175760,10000,38396,0,0,48396
5387,8673181786,14000,1764,500,0,16264
5389,8673181582,12000,19794,1498,0,33292
5390,8695327907,15000,79600,0,0,94600
5392,8632089036,15178,169228,3498,0,187904
5399,8632079867,14258,108971,900,0,124129
5401,8622950957,8000,20430,0,0,28430
5402,8684745032,12000,31396,200,0,43596
5403,8685945450,13000,64858,1000,0,78858
5404,8695033727,9000,75643,1002,0,85645
5406,8626326676,12000,62809,500,0,75309
5407,8684481938,16425,27719,500,0,44644
5410,8694486897,28600,50561,511,0,79672
5411,8642197941,10000,2482,0,0,12482
5412,8695440515,15000,66582,100,0,81682
5414,8695241216,8000,17098,8160,0,33258
5415,8685938912,18000,49642,1000,0,68642
5419,8694022907,19844,54760,6702,0,81306
5422,8684919914,28000,33405,5201,0,66606
5423,8632170486,43085,6864,480682,0,530631
5426,8676853061,14000,62209,2496,0,78705
5430,8642490103,13000,29007,699,0,42706
5432,8622859390,8000,144879,50,0,152929
5435,8694091732,21856,10666,63684,0,96206
5436,9500097108,600000,315875,46303,0,962178
5439,8666998198,10000,770,0,0,10770
5441,8676180182,9000,15116,26,0,24142
5442,8684922215,5000,269,0,0,5269
5443,8684923298,28000,3042,5500,0,36542
5444,8684925673,19725,12745,400,0,32870
5453,8662805008,8000,10930,0,0,18930
5456,8684491194,20925,60206,3101,0,84232
5462,8632567994,15000,13253,500,0,28753
